genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Protopliomerella,488.300,471.800,10,0,NaN
Protopliomerops,488.300,471.800,21,1,0.0263
Protopresbynileus,488.300,468.100,10,0,NaN
Protorcula,265.000,205.600,19,12,0.0178
Protoretepora,345.300,252.300,18,1,0.0213
Protornoceras,388.100,383.700,1,0,NaN
Protorthis,478.600,471.800,3,0,NaN
Protoscolex,460.900,418.700,4,0,NaN
Protoscutella,48.600,37.200,2,0,NaN
Protoseris,161.200,112.030,19,5,0.0145
Protoskenidioides,478.600,468.100,3,0,NaN
Protospongia,530.000,412.300,11,0,NaN
Protostrea,247.200,242.000,11,11,0.0083
Protostylophyllum,232.000,221.500,3,1,0.1250
Protostylus,279.500,259.000,3,3,0.0100
Protosurcula,55.800,48.600,1,1,0.0060
Protosycon,161.200,150.800,1,0,NaN
Protothyraster,136.400,130.000,1,1,0.0345
Prototoceras,259.000,254.000,8,0,NaN
Prototreta,507.000,505.000,5,2,0.2202
Protowenella,520.000,501.000,10,2,0.0419
Protowentzelella,298.900,279.500,88,0,NaN
Protozeuga,426.200,422.900,2,0,NaN
Protozyga,471.800,455.800,31,0,NaN
Protrachyceras,247.200,221.500,19,2,0.1270
Protrochiscolithus,452.000,445.600,11,0,NaN
Protrochocyathus,112.030,99.600,1,0,NaN
Protula,37.200,0.012,4,1,0.0260
Protulophila,161.200,155.700,1,0,NaN
Proturritella,466.000,391.900,9,0,NaN
Protypus,520.000,516.000,4,0,NaN
Provermicularia,247.200,205.600,4,3,0.0052
Prozacanthoides,516.000,501.000,9,0,NaN
Prozonaria,28.400,23.030,2,0,NaN
Prunum,33.900,0.012,34,21,0.0844
Pruvostastraea,155.700,99.600,10,0,NaN
Pruvostinoides,520.000,516.000,1,0,NaN
Psalikilus,478.600,468.100,19,0,NaN
Psammacoma,23.030,2.588,7,0,NaN
Psammechinus,99.600,5.332,16,0,NaN
Psammocora,28.400,0.003755,39,4,0.0681
Psammogyra,161.200,99.600,21,1,0.0256
Psammohelia,161.200,112.030,9,1,0.0233
Psammosolen,15.970,11.608,1,0,NaN
Psammotreta,15.970,0.121,8,1,0.0009
Psarodictyum,466.000,449.500,8,2,0.0603
Pselioceras,265.000,254.000,7,2,0.2626
Psephechinus,171.600,155.700,4,2,0.0198
Psephosthenaspis,471.800,468.100,37,0,NaN
Psephosyllogus,161.200,155.700,1,1,0.0172
Pseudacanthoscapha,259.000,252.300,15,0,NaN
Pseudadusta,3.600,2.588,2,0,NaN
Pseudaganides,161.200,145.500,2,0,NaN
Pseudagathiceras,272.500,268.000,1,0,NaN
Pseudagnostus,513.000,478.600,39,4,0.2125
Pseudamnicola,65.500,61.700,1,1,0.0001
Pseudamplexus,436.000,360.700,33,0,NaN
Pseudamussium,13.650,2.588,8,1,0.0061
Pseudaptetoceras,175.600,167.700,1,1,0.0236
Pseudaspenites,252.300,247.200,6,0,NaN
Pseudaspidites,252.300,247.200,18,2,0.0645
Pseudaspidoceras,93.500,89.300,8,0,NaN
Pseudaviculopecten,388.100,383.700,5,0,NaN
Pseudhelicoceras,105.300,99.600,2,2,0.0018
Pseudisastraea,164.700,161.200,2,0,NaN
Pseudisocardia,175.600,155.700,24,0,NaN
Pseudoaclisina,360.700,345.300,2,0,NaN
Pseudoacrocephalites,488.300,478.600,5,0,NaN
Pseudoactinodictyon,402.500,382.400,29,1,0.0053
Pseudoactinostroma,391.900,388.100,1,0,NaN
Pseudoaluco,65.500,33.900,2,0,NaN
Pseudoamblysiphonella,232.000,221.500,1,0,NaN
Pseudoamplexus,439.000,391.900,4,0,NaN
Pseudoantiquatonia,272.500,259.000,3,2,0.1213
Pseudoasaphus,468.100,455.800,12,0,NaN
Pseudoaspidoceras,93.500,89.300,1,0,NaN
Pseudoatrypa,388.100,376.100,72,20,0.0551
Pseudobactrites,409.100,391.900,5,0,NaN
Pseudobakewellia,272.500,254.000,65,0,NaN
Pseudobasilicus,478.600,455.800,24,0,NaN
Pseudobatostomella,412.300,242.000,44,2,0.2152
Pseudobaylea,295.000,252.300,3,0,NaN
Pseudobelus,136.400,130.000,1,0,NaN
Pseudobeyrichiopsis,254.000,252.300,1,0,NaN
Pseudobigalea,313.800,311.450,2,0,NaN
Pseudoblothrophyllum,416.000,412.300,18,15,0.1824
Pseudobythocypris,306.950,252.300,55,7,0.0188
Pseudocalycoceras,99.600,93.500,2,0,NaN
Pseudocalymene,478.600,466.000,8,0,NaN
Pseudocarniaphyllum,306.950,259.000,17,0,NaN
Pseudocarnites,242.000,235.000,1,0,NaN
Pseudoceltites,251.300,247.200,17,7,0.7378
Pseudocenoceras,99.600,93.500,1,1,0.0024
Pseudochaetetes,428.200,145.500,5,0,NaN
Pseudochama,15.970,0.012,10,1,0.0006
Pseudocheirurus,443.700,418.700,2,0,NaN
Pseudocidaris,171.600,125.450,70,21,0.0149
Pseudoclanculus,235.000,232.000,3,0,NaN
Pseudoclaraia,268.000,251.300,9,0,NaN
Pseudoclelandia,488.300,478.600,2,0,NaN
Pseudoclimacograptus,463.500,445.600,14,0,NaN
Pseudoclydoniceras,164.700,161.200,2,0,NaN
Pseudocoenia,167.700,93.500,157,25,0.0255
Pseudocoeniopsis,175.600,70.600,17,4,0.0249
Pseudocolpomya,449.500,443.700,1,0,NaN
Pseudoconocardium,318.100,314.600,1,0,NaN
Pseudoconularia,466.000,460.900,2,0,NaN
Pseudocorbula,251.300,201.600,31,25,0.0656
Pseudocorydasialis,145.500,140.200,1,1,1.0000
Pseudocrania,468.100,463.500,1,0,NaN
Pseudocrinites,418.700,416.000,2,0,NaN
Pseudocryphaeus,412.300,409.100,3,0,NaN
Pseudocryptaenia,449.500,445.600,1,0,NaN
Pseudocryptophyllum,443.700,416.000,1,0,NaN
Pseudocucullaea,93.500,85.800,5,0,NaN
Pseudocybele,478.600,471.800,36,6,0.0285
Pseudocystophora,295.000,279.500,19,0,NaN
Pseudocythere,23.030,11.608,2,0,NaN
Pseudodanubites,247.200,242.000,5,4,0.2471
Pseudodegeletticyathellus,520.000,516.000,2,0,NaN
Pseudodiadema,171.600,93.500,7,2,0.0134
Pseudodicellomus,501.000,488.300,3,0,NaN
Pseudodielasma,279.500,259.000,34,1,0.0014
Pseudodiplocoenia,164.700,150.800,4,0,NaN
Pseudoendophyllum,370.600,364.700,3,0,NaN
Pseudoerbia,520.000,513.000,6,0,NaN
Pseudoeteraspis,516.000,513.000,1,0,NaN
Pseudoexlinella,167.700,164.700,2,0,NaN
Pseudofavia,85.800,70.600,1,0,NaN
Pseudofavosites,318.100,259.000,6,0,NaN
Pseudoffaster,83.500,65.500,2,1,0.1765
Pseudoflemingites,251.300,247.200,1,0,NaN
Pseudofoordiceras,279.500,272.500,3,0,NaN
Pseudogastrioceras,279.500,252.300,55,0,NaN
Pseudogibbaster,83.500,70.600,1,0,NaN
Pseudogibbirhynchia,183.000,175.600,27,2,0.0450
Pseudoglossothyris,175.600,161.200,3,1,0.0135
Pseudoglyphea,247.200,189.600,2,1,0.5000
Pseudogrammatodon,70.600,0.012,3,1,0.0023
Pseudogrammoceras,180.100,175.600,9,0,NaN
Pseudogruenewaldtia,379.500,376.100,1,0,NaN
Pseudogrypophyllum,416.000,391.900,2,0,NaN
Pseudoguadalupia,268.000,259.000,9,0,NaN
Pseudogygites,460.900,443.700,4,0,NaN
Pseudohaploceras,130.000,112.030,42,0,NaN
Pseudoharpoceras,251.300,247.200,1,1,1.0000
Pseudohastites,189.600,183.000,1,0,NaN
Pseudohealdia,196.500,183.000,4,0,NaN
Pseudohedenstroemia,251.300,247.200,2,0,NaN
Pseudohexagonaria,388.100,383.700,5,0,NaN
Pseudohimatella,268.000,259.000,7,7,0.1349
Pseudohollandites,247.200,242.000,3,0,NaN
Pseudohornera,445.600,426.200,2,0,NaN
Pseudohuangia,295.000,252.300,25,1,0.2353
Pseudohydrophilus,150.800,145.500,6,2,0.0209
Pseudohystricurus,488.300,468.100,8,0,NaN
Pseudoinvoluticeras,150.800,145.500,3,0,NaN
Pseudoironella,161.200,99.600,3,0,NaN
Pseudokainella,488.300,478.600,10,0,NaN
Pseudokingstonia,501.000,488.300,3,0,NaN
Pseudokoldinella,488.300,478.600,1,0,NaN
Pseudokoldinia,488.300,478.600,2,0,NaN
Pseudokoldinioidia,488.300,478.600,1,0,NaN
Pseudokoninckina,242.000,235.000,1,0,NaN
Pseudokossmaticeras,83.500,70.600,6,4,0.0057
Pseudolabaia,254.000,252.300,4,1,0.0952
Pseudolabechia,428.200,418.700,3,0,NaN
Pseudolancicula,456.100,443.700,3,0,NaN
Pseudolatirus,61.700,55.800,6,5,0.0321
Pseudoleperditia,360.700,345.300,3,0,NaN
Pseudoleptodus,298.900,259.000,37,5,0.0062
Pseudolimea,242.000,65.500,164,107,0.0165
Pseudolingula,488.300,443.700,42,3,0.0068
Pseudolioceras,180.100,175.600,3,0,NaN
Pseudoliotina,65.500,61.700,1,0,NaN
Pseudolissoceras,150.800,145.500,4,2,0.0061
Pseudoliva,65.500,40.400,19,14,0.0045
Pseudolivella,65.500,61.700,1,0,NaN
Pseudolowenstamia,295.000,290.100,1,0,NaN
Pseudomacrocypris,196.500,175.600,10,2,0.0092
Pseudomalaxis,65.500,48.600,3,2,0.0009
Pseudomegalaspis,466.000,460.900,4,0,NaN
Pseudomelania,272.500,99.600,143,74,0.0342
Pseudomera,478.600,468.100,69,1,0.0082
Pseudomercaticeras,182.000,175.600,7,1,0.0370
Pseudomicroplasma,416.000,383.700,21,0,NaN
Pseudomiltha,183.000,15.970,19,2,0.0125
Pseudomimella,478.600,468.100,1,0,NaN
Pseudomitchellia,412.300,409.100,4,2,0.0222
Pseudomonotis,313.800,150.800,146,26,0.0142
Pseudomphalotrochus,409.100,376.100,16,1,0.0127
Pseudomulceodens,353.800,342.800,6,1,0.0492
Pseudomultistella,259.000,254.000,2,0,NaN
Pseudomultithecopora,279.500,265.000,8,0,NaN
Pseudomurchisonia,252.300,251.300,2,0,NaN
Pseudomyalina,290.100,279.500,1,0,NaN
Pseudomyoconcha,251.300,235.000,13,11,0.0024
Pseudomyona,507.000,505.000,4,1,0.2872
Pseudomyriophyllia,136.400,93.500,20,5,0.0349
Pseudomyrmeleon,150.800,145.500,1,0,NaN
Pseudomytiloides,183.000,182.000,4,2,0.0125
Pseudonematopora,360.700,279.500,4,0,NaN
Pseudoneocomites,140.200,136.400,5,0,NaN
Pseudoneptunea,28.400,23.030,1,0,NaN
Pseudonerinea,140.200,136.400,1,1,0.0741
Pseudoniscus,418.700,416.000,1,0,NaN
Pseudoolenoides,471.800,468.100,25,0,NaN
Pseudopachydictya,449.500,443.700,1,0,NaN
Pseudopalaeoaplysina,272.500,252.300,7,1,0.1111
Pseudopalmatohindia,468.100,449.500,3,0,NaN
Pseudoparalegoceras,318.100,314.600,3,0,NaN
Pseudopavona,345.300,306.950,7,0,NaN
Pseudopecten,205.600,182.000,61,40,0.0218
Pseudopedina,171.600,168.400,1,1,0.0068
Pseudopemmatites,383.700,376.100,1,0,NaN
Pseudopermophorus,279.500,265.000,2,0,NaN
Pseudoperna,93.500,89.300,1,0,NaN
Pseudopetalodontia,112.030,109.000,4,0,NaN
Pseudopetraia,416.000,412.300,1,0,NaN
Pseudophalacroma,505.000,501.000,6,0,NaN
Pseudophasianus,33.900,28.400,1,0,NaN
Pseudophaulactis,428.200,422.900,2,0,NaN
Pseudophillipsia,298.900,252.300,59,0,NaN
Pseudopholidops,457.500,452.000,2,0,NaN
Pseudophorus,449.500,259.000,5,1,0.0004
Pseudophyllites,83.500,65.500,5,2,0.0066
Pseudopilophyllum,422.900,418.700,1,0,NaN
Pseudopisthophyllum,161.200,109.000,9,7,0.0360
Pseudoplacunopsis,247.200,201.600,22,15,0.0068
Pseudoplagiothyra,388.100,376.100,2,0,NaN
Pseudoplasmopora,443.700,391.900,5,0,NaN
Pseudopolyconites,89.300,65.500,20,0,NaN
Pseudopolypora,290.100,279.500,1,0,NaN
Pseudopolythecalis,290.100,259.000,9,0,NaN
Pseudopolytremacis,130.000,85.800,17,7,0.0170
Pseudoporambonites,478.600,466.000,1,0,NaN
Pseudoporefieldia,466.000,443.700,2,0,NaN
Pseudoportlandia,3.600,2.588,1,0,NaN
Pseudoprobeloceras,388.100,383.700,1,0,NaN
Pseudopronorites,318.100,314.600,6,0,NaN
Pseudoproptychites,252.300,251.300,1,0,NaN
Pseudoprosphingites,251.300,247.200,1,0,NaN
Pseudopsammocythere,7.246,5.332,1,0,NaN
Pseudoptera,93.500,65.500,3,2,0.0008
Pseudopuzosia,99.600,93.500,1,1,0.0099
Pseudopygoides,221.500,201.600,1,0,NaN
Pseudopygurus,164.700,150.800,2,0,NaN
Pseudorayella,254.000,252.300,4,0,NaN
Pseudorhaetina,221.500,205.600,2,1,0.1318
Pseudorhytidopilus,189.600,183.000,1,0,NaN
Pseudoromingeria,295.000,290.100,1,0,NaN
Pseudorostranteris,298.900,295.000,1,0,NaN
Pseudorthoceras,318.100,254.000,72,5,0.0048
Pseudosabinia,83.500,65.500,4,0,NaN
Pseudosageceras,252.300,247.200,34,3,0.1647
Pseudosalenia,167.700,145.500,4,1,0.0032
Pseudosaratogia,501.000,488.300,16,2,0.1137
Pseudosaukia,498.500,488.300,1,0,NaN
Pseudoscalites,235.000,205.600,3,1,0.0015
Pseudoscenella,542.000,516.000,2,0,NaN
Pseudoschizogonium,235.000,232.000,1,0,NaN
Pseudoschloenbachia,85.800,83.500,1,0,NaN
Pseudoseptifer,221.500,150.800,2,0,NaN
Pseudosiderastrea,5.332,0.126,3,0,NaN
Pseudosieberella,409.100,391.900,2,0,NaN
Pseudosirenites,215.560,212.000,2,0,NaN
Pseudosirex,145.500,140.200,1,1,0.0137
Pseudosonneratia,112.030,99.600,6,0,NaN
Pseudosphaerexochus,463.500,428.200,14,2,0.0135
Pseudospiriferina,251.300,242.000,34,2,0.1197
Pseudospondylospira,221.500,215.560,9,0,NaN
Pseudostephanites,254.000,252.300,6,0,NaN
Pseudostictoporella,471.800,449.500,5,0,NaN
Pseudostreptorhynchus,259.000,252.300,3,0,NaN
Pseudostromatoporella,409.100,360.700,7,0,NaN
Pseudostylodictyon,460.900,445.600,15,2,0.5988
Pseudosyringocnema,520.000,513.000,5,0,NaN
Pseudosyringothyris,272.500,265.000,1,0,NaN
Pseudosyrinx,360.700,268.000,8,0,NaN
Pseudotenebrio,150.800,145.500,2,0,NaN
Pseudotennericyathellus,520.000,516.000,3,0,NaN
Pseudotervia,70.600,58.700,4,4,0.0156
Pseudotetradium,279.500,272.500,1,0,NaN
Pseudothurmannia,136.400,130.000,16,0,NaN
Pseudothyrea,150.800,145.500,1,1,0.0053
Pseudotimania,314.600,290.100,7,1,0.0455
Pseudotirolites,259.000,252.300,29,0,NaN
Pseudotissotia,93.500,89.300,4,0,NaN
Pseudotitanoceras,259.000,252.300,8,1,1.0000
Pseudotoceras,259.000,252.300,15,0,NaN
Pseudotorinia,15.970,0.012,5,0,NaN
Pseudotoucasia,122.460,99.600,8,0,NaN
Pseudotrapezium,196.500,161.200,24,12,0.0108
Pseudotritonium,251.300,247.200,2,1,0.0229
Pseudotrupetostroma,409.100,383.700,4,1,0.2778
Pseudotryplasma,416.000,360.700,5,0,NaN
Pseudotupolichas,428.200,422.900,1,0,NaN
Pseudouvanella,221.500,215.560,1,0,NaN
Pseudovaccinites,93.500,89.300,1,0,NaN
Pseudoverbeekiella,279.500,272.500,3,1,1.0000
Pseudovidrioceras,279.500,265.000,4,0,NaN
Pseudovirgula,265.000,259.000,1,0,NaN
Pseudovirgulopsis,259.000,254.000,1,0,NaN
Pseudovola,161.200,155.700,1,0,NaN
Pseudowannerophyllum,303.400,279.500,4,2,0.0502
Pseudowattonithyris,167.700,164.700,1,0,NaN
Pseudowellerella,272.500,254.000,3,0,NaN
Pseudowortheniella,235.000,232.000,1,0,NaN
Pseudoxybeloceras,83.500,70.600,8,2,0.0277
Pseudozaphrentoides,339.400,279.500,33,2,0.0352
Pseudozonaria,0.781,0.012,3,0,NaN
Pseudozygopleura,339.400,252.300,39,15,0.0144
Pseudulrichia,460.900,449.500,5,0,NaN
Pseudus,145.500,140.200,1,1,0.0137
Psilaxis,11.608,2.588,3,0,NaN
Psilocamara,314.600,252.300,6,0,NaN
Psilocephalina,488.300,466.000,26,0,NaN
Psiloceras,201.600,196.500,24,1,0.0182
Psilogyra,105.300,65.500,3,0,NaN
Psilokirkbyella,428.200,416.000,3,0,NaN
Psilomya,99.600,65.500,22,4,0.0114
Psilophyllites,201.600,196.500,2,0,NaN
Psiloria,516.000,513.000,4,0,NaN
Psilosecos,65.500,61.700,1,1,0.0246
Psilostracus,513.000,505.000,1,0,NaN
Psilosturia,247.200,242.000,1,0,NaN
Psilothyris,145.500,125.450,2,0,NaN
Psilotissotia,136.400,130.000,5,0,NaN
Psioidea,221.500,205.600,1,0,NaN
Psydracophyllum,391.900,383.700,7,0,NaN
Psygmophthalmus,23.030,5.332,1,0,NaN
Ptarmigania,513.000,501.000,9,0,NaN
Ptarmiganoides,516.000,513.000,1,0,NaN
Pteraster,83.500,70.600,1,0,NaN
Pteria,391.900,0.012,107,54,0.0065
Pterinea,457.500,383.700,194,138,0.0388
Pterinoblattina,145.500,140.200,5,5,0.2797
Pterinopecten,391.900,326.400,15,0,NaN
Pterinopectinella,360.700,265.000,11,3,0.0006
Pterocardia,183.000,145.500,74,7,0.0121
Pterocephalia,501.000,488.300,22,1,0.1076
Pterocephalops,501.000,488.300,2,0,NaN
Pterocera,164.700,0.012,10,0,NaN
Pterocerella,70.600,65.500,1,0,NaN
Pterochaenia,388.100,376.100,7,0,NaN
Pterochiton,345.000,268.000,6,4,0.1608
Pterocoma,150.800,145.500,2,0,NaN
Pterodonta,167.700,89.300,17,8,0.0255
Pterodonticeras,99.600,93.500,2,2,0.0164
Pteroleperditia,460.900,449.500,1,0,NaN
Pteromixanum,145.500,140.200,3,3,0.3029
Pteromya,205.600,196.500,16,1,0.2105
Pteronitella,428.200,418.700,3,0,NaN
Pteronites,345.000,252.300,6,0,NaN
Pteronychia,468.100,460.900,1,0,NaN
Pteroperna,189.600,145.500,55,11,0.0080
Pteroplecta,268.000,265.000,1,1,1.0000
Pteropora,445.600,443.700,2,0,NaN
Pteropsella,48.600,40.400,1,0,NaN
Pterorhytis,3.600,2.588,3,0,NaN
Pterorrhiza,391.900,383.700,13,0,NaN
Pterospirifer,318.100,254.000,42,0,NaN
Pterotheca,471.800,439.000,19,0,NaN
Pterotocrinus,336.000,318.100,49,24,0.0070
Pterotrigonia,150.800,65.500,21,3,0.0146
Pterygia,0.126,0.012,3,0,NaN
Pterygometopus,466.000,443.700,24,15,0.0290
Pterygotheca,412.300,409.100,1,1,0.2866
Pterygotus,418.700,416.000,6,0,NaN
Pterynotus,33.900,0.012,6,3,0.0073
Ptilodictya,468.100,418.700,21,0,NaN
Ptiloporella,364.700,360.700,2,0,NaN
Ptilotorhynchus,268.000,259.000,5,0,NaN
Ptomatis,353.800,342.800,1,0,NaN
Ptychagnostus,505.000,498.500,26,9,0.1410
Ptychaspis,498.500,488.300,4,0,NaN
Ptychites,247.200,242.000,14,4,0.0975
Ptychobairdia,252.300,182.000,32,0,NaN
Ptychocaulus,416.000,391.900,1,0,NaN
Ptychoceras,136.400,99.600,4,2,0.0066
Ptychochaetetes,221.500,145.500,22,1,0.0435
Ptychocoetis,83.500,70.600,1,1,0.0146
Ptychocrinus,452.000,443.700,12,6,0.0321
Ptychodesia,83.500,70.600,1,0,NaN
Ptychoglyptus,457.500,443.700,26,1,0.0303
Ptychomaletoechia,379.500,345.300,15,1,1.0000
Ptychomphalina,391.900,242.000,7,2,0.0018
Ptychomphalus,339.400,182.000,13,4,0.0057
Ptychomya,155.700,136.400,4,0,NaN
Ptychonema,460.900,449.500,1,0,NaN
Ptychoparella,516.000,501.000,2,0,NaN
Ptychoparia,520.000,505.000,2,0,NaN
Ptychopegma,488.300,488.300,3,0,NaN
Ptychophylloceras,167.700,136.400,5,2,0.0442
Ptychophyllum,436.000,376.100,15,0,NaN
Ptychopleurella,466.000,409.100,76,12,0.1509
Ptychopleurites,498.500,478.600,7,0,NaN
Ptychopteria,428.200,383.700,3,0,NaN
Ptychopterinia,455.800,443.700,1,1,0.0225
Ptychopyge,478.600,452.000,8,0,NaN
Ptychosalpinx,40.400,37.200,1,0,NaN
Ptychosphaera,422.900,412.300,2,0,NaN
Ptychospirina,422.900,383.700,3,0,NaN
Ptychostoma,235.000,205.600,7,2,0.1322
Ptyctolorenzella,513.000,505.000,1,0,NaN
Ptyctothyris,171.600,161.200,10,0,NaN
Ptygmactrum,279.500,265.000,5,1,0.0001
Ptygmatis,161.200,93.500,14,1,0.0015
Ptylopora,360.700,268.000,7,3,0.0085
Ptyocephalus,478.600,468.100,41,3,0.0951
Puanophyllum,391.900,388.100,1,0,NaN
Pudoproetus,353.800,306.950,7,0,NaN
Puebloites,93.500,89.300,6,0,NaN
Pugilina,55.800,5.332,3,0,NaN
Pugilis,336.000,326.400,4,0,NaN
Pugnax,416.000,254.000,48,8,0.0146
Pugnellus,70.600,65.500,3,0,NaN
Pugnoides,364.700,259.000,5,0,NaN
Pulchellia,130.000,125.450,6,0,NaN
Pulchratia,318.100,298.900,6,1,0.0244
Pulchricapitus,501.000,488.300,2,0,NaN
Pulchrilamina,488.300,460.900,13,0,NaN
Pulcinellaster,167.700,164.700,1,0,NaN
Pulsia,339.400,311.450,2,0,NaN
Pulvinites,65.500,61.700,1,1,1.0000
Pumilina,516.000,513.000,4,0,NaN
Punctacheilinella,436.000,428.200,3,0,NaN
Punctaparchites,460.900,449.500,18,0,NaN
Punctatites,215.560,175.600,15,0,NaN
Punctatrypa,412.300,391.900,17,4,0.0301
Punctocyrtella,295.000,290.100,3,1,0.1439
Punctolira,488.300,468.100,16,0,NaN
Punctospirella,247.200,221.500,37,18,0.1423
Punctospirifer,360.700,252.300,132,53,0.0355
Punctothyris,360.700,345.300,1,1,0.0198
Punctspinatrypa,412.300,409.100,2,0,NaN
Puncturella,167.700,2.588,2,0,NaN
Puncturiella,65.500,61.700,1,1,0.0226
Punjabia,58.700,55.800,1,0,NaN
Punjabites,251.300,247.200,1,0,NaN
Punka,471.800,468.100,67,57,0.3470
Pupa,70.600,0.012,2,1,0.0400
Pupoides,28.400,20.430,1,0,NaN
Purbemerobius,145.500,140.200,1,1,0.1250
Purbepsychopsis,145.500,140.200,1,1,0.5000
Purbimodus,145.500,140.200,1,1,0.1667
Purdonella,314.600,254.000,20,5,0.0378
Purella,542.000,520.000,21,0,NaN
Purkynespira,409.100,391.900,1,0,NaN
Purpura,112.030,0.113,13,0,NaN
Purpurellus,7.0,6.5,4,0,NaN
Purpurina,235.000,164.700,20,3,0.0056
Purpuroidea,242.000,150.800,60,30,0.0412
Puschastraea,161.200,155.700,2,0,NaN
Pustula,353.800,252.300,49,14,0.0125
Pustulacyathellus,516.000,513.000,1,0,NaN
Pustularia,247.200,0.007711,22,1,0.0021
Pustulatia,388.100,383.700,1,0,NaN
Pustulina,196.500,189.600,1,0,NaN
Pustulobairdia,259.000,196.500,11,0,NaN
Pustuloplica,259.000,254.000,1,0,NaN
Pustulopora,70.600,58.700,22,22,0.1100
Pustulospiriferina,290.100,279.500,3,2,0.0417
Pusula,3.600,0.007145,8,0,NaN
Putapacyathus,516.000,513.000,1,0,NaN
Putilla,23.030,5.332,2,0,NaN
Puzosia,122.460,89.300,28,5,0.0181
Pyandzhelasma,295.000,272.500,2,0,NaN
Pyanomya,452.000,449.500,1,0,NaN
Pycinaster,189.600,65.500,17,1,0.0078
Pycnactis,445.600,426.200,9,0,NaN
Pycnactoides,445.600,443.700,1,0,NaN
Pycnocalyptra,161.200,150.800,3,1,0.0091
Pycnocrinus,452.000,449.500,15,0,NaN
Pycnodesma,83.500,70.600,1,0,NaN
Pycnodictyon,428.200,422.900,1,0,NaN
Pycnodonte,109.000,3.600,95,24,0.0583
Pycnoidocoscinus,520.000,516.000,1,0,NaN
Pycnoidocyathus,520.000,513.000,27,0,NaN
Pycnoidoscinus,516.000,513.000,1,0,NaN
Pycnolithus,460.900,436.000,5,0,NaN
Pycnomphalus,428.200,421.300,4,0,NaN
Pycnophlebia,150.800,145.500,14,13,0.0397
Pycnoria,167.700,161.200,8,0,NaN
Pycnosaccus,428.200,416.000,5,0,NaN
Pycnostylus,436.000,409.100,14,0,NaN
Pycnotrochus,422.900,416.000,3,0,NaN
Pygaster,161.200,93.500,7,5,0.0068
Pygaulus,99.600,93.500,9,9,0.0209
Pygecystis,455.800,445.600,1,0,NaN
Pygites,145.500,130.000,3,2,0.1268
Pygmaeoconus,463.500,460.900,5,0,NaN
Pygmaeocrinus,416.000,416.000,4,0,NaN
Pygmaepterys,5.7,5.7,1,0,NaN
Pygmochonetes,279.500,252.300,3,0,NaN
Pygope,150.800,136.400,39,3,0.0231
Pygopistes,70.600,61.700,3,0,NaN
Pygopyrina,70.600,61.700,2,0,NaN
Pygorhynchus,136.400,112.030,16,14,0.0224
Pygurostoma,83.500,65.500,2,0,NaN
Pygurus,171.600,93.500,34,27,0.0329
Pyknochiton,279.500,272.500,1,1,0.2500
Pyramiblastus,360.700,353.800,1,0,NaN
Pyramidathyris,290.100,279.500,1,1,0.0400
Pyramidella,2.588,0.012,3,0,NaN
Pyramidelloides,0.012,0.000,2,2,0.0722
Pyramus,259.000,254.000,2,2,0.0046
Pyrazisinus,33.900,0.012,26,0,NaN
Pyrazus,125.450,2.588,15,6,0.0305
Pyrene,15.970,0.007711,30,0,NaN
Pyrgochonia,167.700,150.800,17,6,0.0162
Pyrgocystis,455.800,439.000,13,3,0.0017
Pyrgocythara,3.600,2.588,1,0,NaN
Pyrgoma,15.970,11.608,1,0,NaN
Pyrgopolon,70.600,61.700,2,0,NaN
Pyrgopostibulla,416.000,412.300,2,0,NaN
Pyrgotrochus,189.600,136.400,12,7,0.0910
Pyrifusus,70.600,65.500,1,0,NaN
Pyrina,112.030,65.500,4,0,NaN
Pyrochroophana,150.800,145.500,3,3,0.0053
Pyrocystites,418.700,416.000,1,0,NaN
Pyropsis,93.500,65.500,3,0,NaN
Pyruclia,15.970,2.588,2,0,NaN
Pyxion,460.900,449.500,4,0,NaN
Qianjiangoceras,254.000,252.300,2,0,NaN
Qiannanagraulos,516.000,513.000,1,0,NaN
Qilianotryma,449.500,445.600,1,0,NaN
Qinglongia,268.000,252.300,18,2,0.0198
Qinglongites,254.000,252.300,3,0,NaN
Qinglongshanophyllum,298.900,295.000,1,0,NaN
Qingyaniola,247.200,242.000,1,1,0.2000
Qingyanocrinus,247.200,242.000,13,13,0.0023
Qingyenia,247.200,242.000,8,7,0.0247
Qispiriferina,247.200,242.000,1,0,NaN
Quadracythere,33.900,11.608,2,0,NaN
Quadrans,5.332,0.012,1,1,0.0043
Quadratia,360.700,242.000,15,5,0.0034
Quadratirhynchia,196.500,175.600,160,126,0.0644
Quadratojaworskiella,189.600,183.000,3,3,0.0191
Quadratonucula,295.000,290.100,1,0,NaN
Quadratoproetus,416.000,391.900,1,0,NaN
Quadricarina,422.900,402.500,3,1,0.0877
Quadrilatera,36.000,34.300,1,0,NaN
Quadrilobella,463.500,460.900,6,0,NaN
Quadrinervus,164.700,145.500,20,17,0.0259
Quadrisonia,501.000,488.300,7,2,1.0000
Quadrithyrina,416.000,402.500,15,0,NaN
Quadrithyris,416.000,402.500,17,5,0.0107
Quadrochonetes,298.900,272.500,25,13,0.0239
Quadrospira,295.000,252.300,13,2,0.1581
Quasiavonia,345.300,336.000,4,2,0.0096
Quasimartinia,416.000,388.100,8,0,NaN
Quasipolycope,295.000,290.100,4,0,NaN
Quebecaspis,501.000,488.300,9,5,0.2493
