"phylum","class","order","family","otu"
"Mollusca","Bivalvia","Cyrtodontida","Cyrtodontidae","Pharcidoconcha"
"Mollusca","Bivalvia","Colpomyida","Colpomyidae","Xestoconcha"
"Arthropoda","Trilobita","Aulacopleurida","Hystricuridae","Etheridgaspis"
"Arthropoda","Trilobita","","Missisquoiidae","Tasmanocephalus"
"Mollusca","Cephalopoda","Goniatitida","Neoicoceratidae","Neoicoceras"
"Mollusca","Cephalopoda","Goniatitida","Welleritidae","Eowellerites"
"Mollusca","Cephalopoda","Prolecanitida","Daraelitidae","Boesites"
"Mollusca","Cephalopoda","Goniatitida","Glaphyritidae","Clistoceras"
"Mollusca","Gastropoda","","Pseudozygopleuridae","Gamizyga"
"Mollusca","Bivalvia","Pholadomyida","Megadesmidae","Unklesbayella"
"Mollusca","Rostroconchia","Conocardiida","Pseudobigaleaidae","Pseudobigalea"
"Porifera","Demospongea","Lithistida","Astylospongiidae","Caryospongia"
"Porifera","Demospongea","Lithistida","Anthaspidellidae","Climacospongia"
"Mollusca","Bivalvia","Ostreida","Pterineidae","Placopterina"
"Porifera","Stromatoporoidea","Labechiida","Stromatoceriidae","Cystocerium"
"Cnidaria","Anthozoa","Auloporida","Aulocystidae","Adaverina"
"Cnidaria","Anthozoa","Auloporida","Romingeriidae","Ainia"
"Mollusca","Cephalopoda","Goniatitida","Paragastrioceratidae","Paragastrioceras"
"Echinodermata","Ophiuroidea","Oegophiurida","Lapworthuridae","Lapworthura"
"Arthropoda","Pycnogonida","","","Haliestes"
"Echinodermata","Stenuroidea","","Bdellacomidae","Bdellacoma"
"Cnidaria","Anthozoa","Stauriida","Acervulariidae","Rhapidophyllum"
"Cnidaria","Anthozoa","","","Procatenipora"
"Cnidaria","Anthozoa","","","Tetraporella"
"Cnidaria","Anthozoa","Auloporida","Syringoporidae","Vinculumtes"
"Bryozoa","Stenolaemata","Cryptostomata","","Phaenoporella"
"Cnidaria","Anthozoa","Heliolitida","Halysitidae","Eocatenipora"
"Cnidaria","Anthozoa","Stauriida","Streptelasmatidae","Tungussophyllum"
"Cnidaria","Anthozoa","Stauriida","Lykophyllidae","Rukhinia"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Trigonirhynchiidae","Lenatoechia"
"Brachiopoda","Rhynchonellata","Atrypida","Atrypinidae","Anabaria"
"Cnidaria","Anthozoa","Cystiphyllida","Cystiphyllidae","Asperophyllum"
"Cnidaria","Anthozoa","Favositida","Multisoleniidae","Priscosolenia"
"Cnidaria","Anthozoa","Stauriida","Streptelasmatidae","Rectigrewingkia"
"Cnidaria","Anthozoa","Stauriida","Stauriidae","Modesta"
"Cnidaria","Anthozoa","Stauriida","Zaphrentidae","Cyathocylindrium"
"Porifera","Stromatoporoidea","Labechiida","Aulaceratidae","Ludictyon"
"Bryozoa","Stenolaemata","Cryptostomata","","Pseudopachydictya"
"Mollusca","Cephalopoda","Nautilida","Trigonoceratidae","Epistroboceras"
"Mollusca","Cephalopoda","Nautilida","Trigonoceratidae","Imonautilus"
"Cnidaria","Anthozoa","Favositida","Alveolitidae","Mariusilites"
"Bryozoa","Stenolaemata","Trepostomida","","Amsassipora"
"Cnidaria","Anthozoa","","","Enallophrentis"
"Cnidaria","Anthozoa","Stauriida","Zaphrentidae","Moravophyllum"
"Cnidaria","Anthozoa","Heliolitida","Proporidae","Helenolites"
"Porifera","Stromatoporoidea","","","Clavidictyon"
"Cnidaria","Anthozoa","","","Leptelasma"
"Cnidaria","Anthozoa","Stauriida","Kodonophyllidae","Cronyphyllum"
"Cnidaria","Anthozoa","Stauriida","Streptelasmatidae","Neobrachyelasma"
"Cnidaria","Anthozoa","Stauriida","Entelophyllidae","Tenuiphyllum"
"Cnidaria","Anthozoa","Stauriida","Entelophyllidae","Scyphophyllum"
"Bryozoa","Stenolaemata","Cryptostomata","","Phaenophragma"
"Cnidaria","Anthozoa","","","Veraephyllum"
"Cnidaria","Anthozoa","Stauriida","Endophyllidae","Mictocystis"
"Cnidaria","Anthozoa","Stauriida","Paliphyllidae","Neopaliphyllum"
"Cnidaria","Anthozoa","Heliolitida","Halysitidae","Hexismia"
"Cnidaria","Anthozoa","Favositida","Coenitidae","Lecompteia"
"Cnidaria","Anthozoa","Favositida","Favositidae","Plicatomurus"
"Bryozoa","Stenolaemata","Trepostomida","","Neotrematopora"
"Echinodermata","Ophiuroidea","Ophiurida","Ophiuridae","Ophioglypha"
"Cnidaria","Anthozoa","Favositida","Alveolitidae","Tyrganolithes"
"Cnidaria","Hydrozoa","Tubulariae","","Hydractinia"
"Cnidaria","Anthozoa","Stauriida","Phillipsastreidae","Sulcorphyllum"
"Porifera","Stromatoporoidea","Stromatoporellida","Stromatoporellidae","Styloporella"
"Cnidaria","Anthozoa","Scleractinia","Procyclolitidae","Hydrasmilia"
"Mollusca","Gastropoda","Murchisoniina","Gosseletinidae","Nordospira"
"Brachiopoda","Rhynchonellata","Pentamerida","Pentameridae","Pentamerus (Barrandella)"
"Cnidaria","Anthozoa","Stauriida","Ptenophyllidae","Shastaphyllum"
"Mollusca","Gastropoda","Euomphalina","Holopeidae","Raphispira"
"Echinodermata","Eocrinoidea","Gogiida","Eocrinidae","Sinoeocrinus"
"Echinodermata","Eocrinoidea","Gogiida","Eocrinidae","Globoeocrinus"
"Arthropoda","","","","Marrella"
"Priapulida","","","Ottoiidae","Ottoia"
"Mollusca","Bivalvia","Pectinida","Anomiidae","Wakullina"
"Mollusca","Tentaculita","Cornulitida","Cornulitidae","Coralloconchus"
"Mollusca","Bivalvia","Arcida","Arcidae","Potiarca"
"Mollusca","Gastropoda","Neogastropoda","Marginellidae","Dentimargo"
"Mollusca","Gastropoda","Neogastropoda","Columbellidae","Aesopus (Glyptaesopus)"
"Mollusca","Gastropoda","Neogastropoda","Mangeliidae","Ithycythara"
"Mollusca","Gastropoda","Neogastropoda","Mangeliidae","Kurtziella"
"Mollusca","Bivalvia","Veneroidei","Veneridae","Megapitaria"
"Mollusca","Gastropoda","Neogastropoda","","Nannodiella"
"Mollusca","Gastropoda","Neogastropoda","Olividae","Dactylidella"
"Mollusca","Gastropoda","Neogastropoda","Columbellidae","Sinaxila"
"Mollusca","Gastropoda","Neogastropoda","Columbellidae","Lirastrombina"
"Mollusca","Bivalvia","Cardiida","Tellinidae","Tellidora"
"Mollusca","Gastropoda","Neogastropoda","Terebridae","Oreoterebra"
"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Tesseracme"
"Porifera","Stromatoporoidea","","","Forolina"
"Porifera","Stromatoporoidea","Clathrodictyida","Clathrodictyidae","Oslodictyon"
"Mollusca","Gastropoda","Thecosomata","Cavoliniidae","Creseis"
"Mollusca","Gastropoda","","Pyramidellidae","Eulimastoma"
"Mollusca","Gastropoda","","Pyramidellidae","Ividella"
"Mollusca","Bivalvia","Arcida","Arcidae","Sheldonella"
